fecha,precio,pronostico
2005-08-06,73.39174233333334,85.08654316666662
2015-03-28,210.83494566666664,210.01329664000008
2017-11-15,156.61979566666665,144.58381603999996
2017-09-27,111.604996,119.65999469999996
2002-06-09,31.877158,33.26937134000003
2012-10-29,161.66716,161.84749433999997
2003-07-07,70.785344,66.90816210666672
2009-09-20,182.5049253333333,188.1226653333334
2019-12-17,307.62551633333334,344.89440672000006
2017-03-22,146.92794033333334,119.07069987333324
2011-11-13,59.36884499999999,71.2397603733333
2007-03-21,96.38446333333331,103.76925298000003
2017-04-12,87.15243099999999,106.32370494000006
2005-05-19,65.646907,65.67258763999995
2011-03-12,77.83084766666667,80.84788920666671
1998-12-11,26.357525,22.447168866666658
2020-03-23,349.5508333333333,347.81054999999986
2004-06-09,57.46318466666667,57.28746964666669
2006-09-14,88.66721799999999,97.57144716666672
2007-07-18,85.12818166666666,82.43553053333339
2001-04-17,67.24017366666668,64.7761941866667
2017-02-24,190.34700533333333,185.98208337999998
1999-09-20,32.64954666666667,31.69918180000001
1998-12-12,23.06585833333333,21.262644400000003
2007-12-11,94.50585433333332,91.98191599999997
2013-01-26,186.02858433333336,181.55604096666656
2019-07-29,115.07135233333332,118.09876023333334
2015-02-25,200.3188046666667,177.6739699
2010-02-03,127.49713766666667,138.02045877333342
2008-01-14,95.76656066666668,94.69188929333332
1998-02-16,167.35442666666668,159.57104166666664
2004-03-14,70.264998,73.08541197333334
2014-07-20,147.58873433333335,160.40563431333325
1996-01-08,21.495833333333334,26.601908085106384
2018-05-18,69.29706866666668,69.3174356
2015-10-01,1223.758215,1849.8894037266666
2004-05-20,73.77814766666667,78.49529993333333
2002-06-20,37.40561633333333,36.413209666666674
2008-03-30,93.840655,97.31053509333334
2013-05-19,137.626772,153.8586620466668
2019-10-13,350.3018493333334,383.69521359333345
2019-08-10,138.32313033333332,143.87758917999997
2018-04-09,108.21183866666668,109.20962074666666
2017-07-23,65.20172133333334,69.22566579999994
2010-05-10,152.47028200000003,148.76433874000008
2021-02-05,250.3358333333333,265.5888666666666
2008-12-28,168.28746666666666,154.49390378666664
2004-12-23,69.21873900000001,66.26725424666664
2016-08-29,222.60918833333332,258.92516495999985
2002-08-08,47.310195,46.39641833333336
2002-08-16,44.030695,45.19252
2000-06-06,45.594750000000005,37.72036670666664
2001-05-22,44.943042,42.84680319333334
2006-04-13,39.030089,47.48151080666664
2015-05-05,171.04032966666668,174.94032476666666
2001-03-15,82.50874133333333,74.2238321
2009-04-13,78.298305,81.17637997333331
2016-12-04,86.52276066666667,126.2127144333334
1999-11-16,32.33595666666667,31.65839366666665
1996-11-05,2.6165833333333333,2.3984633333333316
2013-07-05,192.79201566666663,192.75916756666646
2019-05-29,125.18578366666668,135.57997023333326
1997-08-27,46.78241333333333,44.37556380000001
1999-07-03,26.79764,30.82766186666668
1996-02-15,6.016666666666667,8.193515833333334
2020-03-24,361.9783333333333,341.5726416666668
2005-03-27,70.82779666666666,68.74348578666668
2010-06-05,69.40917766666666,76.67405151333328
2003-01-19,73.26273433333333,70.9852943333333
2012-05-24,63.974796,50.81398938666669
2005-11-28,69.57028366666667,70.12366871999997
2013-08-08,188.66710833333332,150.69212528666677
2007-09-29,78.41834666666666,74.04138224666666
2012-05-11,47.27066133333333,43.65992316666666
2002-09-13,50.08650533333334,48.9237328333333
1999-12-27,32.84896042553192,32.59973405390071
2010-12-22,76.550912,77.10653541333332
2012-07-14,58.225896,65.43023494666664
2003-06-19,73.78969666666667,69.92878249999994
2019-10-31,179.17114633333335,205.04542992000003
2001-02-09,83.76447233333333,78.78043438000003
2012-03-16,137.98712366666666,130.01139543333326
1996-01-16,29.20833333333333,31.13974166666669
2019-09-29,334.8694223333333,349.01755014666685
2007-01-02,59.216568,60.42753030666665
2003-02-04,77.08460466666666,75.08952994
1999-02-12,23.88136,25.90860693333332
2019-08-18,122.718332,136.23437556666659
2017-06-24,65.88230399999999,67.65048775333328
2008-07-04,56.01957766666666,60.64593849333332
1996-03-28,2.488375,2.340697500000002
2014-12-13,189.01694466666663,176.94571483333328
2013-06-24,176.694735,156.0989427466666
2007-08-04,108.856014,101.44159189333331
2008-10-21,95.88230066666668,78.90040420666665
2004-03-22,72.693748,72.0730563066666
2017-10-16,123.565961,128.21639306666668
2010-08-24,97.17753766666668,94.0984094333334
2017-09-18,122.36738733333334,114.57611340000007
2004-10-31,68.86645666666665,69.60585725999996
1995-10-17,2.913,3.2079600000000017
2010-09-09,105.343111,94.39332153333328
2000-06-25,35.94229166666667,38.14188810666667
2020-07-02,209.1833333333333,220.4848
1996-06-21,2.3969166666666664,2.7094124999999987
2007-02-26,108.25106166666666,106.60828199333338
2004-08-29,49.43105966666667,52.14500759333335
2017-01-12,126.337562,116.21843461333329
2001-01-15,78.673214,73.61760116666667
2018-07-18,88.80979400000001,80.05892933333337
2011-10-16,44.797394,70.57882881333335
2000-10-25,53.61134066666667,45.287482906666646
2003-07-17,72.10151066666667,71.69511899999993
1998-05-04,30.57049333333333,30.083936666666677
2017-11-18,136.393189,123.09067021333333
2017-12-02,80.58196,76.75263437333341
1997-08-14,45.01074666666667,43.18497253333332
2020-04-15,241.53666666666663,242.67926666666673
2003-08-23,68.30259333333333,68.08257501333334
2010-11-11,110.92105266666664,111.45221964666663
1998-04-20,54.174868333333336,53.422083333333305
2013-12-16,180.12804733333334,172.64459631999998
2012-02-11,50.11346833333334,52.80911931333333
2004-01-31,60.41524933333333,64.26883266666664
2008-02-07,108.14370466666666,105.18260653999998
2013-01-20,191.17349,185.04379865333337
